mercato;Brand;Anno Fondazione brand;Descrizione Brand;Nome Profumo;Sottofamiglia olfattiva;Anno;Naso Creatore;ml;Prezzo (€);Note di Testa;Note di Cuore;Note di Fondo;Nota Distintiva;Codice EAN;"Link Fragrantica;";Nazionalità
nicchia;Essential Parfums;2018;Alta profumeria sostenibile con creazioni raffinate.;Bois Impérial;Legnosa Speziata;2020;Quentin Bisch;100;88;Basilico Thai, Pepe Nepal;Akigalawood, Petalia;Patchouli, Vetiver;Akigalawood, Basilico Thai;3770014892011;"https://www.fragrantica.it/perfume/Essential-Parfums/Bois-Imperial-61606.html;";Francia
nicchia;Giardini di Toscana;1942;Artigianalità toscana con fragranze gourmand.;Bianco Latte;Ambrata Dolce - Gourmand;2019;Silvia Martinelli;100;125;Caramello;Cumarina, Miele;Vaniglia, Muschio Bianco;Caramello, Cumarina, Miele;8056040150242;"https://www.fragrantica.it/perfume/Giardini-di-Toscana/Bianco-Latte-59363.html;";Italia
nicchia;Montale;2003;Pioniere dell’Oud con persistenza elevata.;Arabians Tonka;Ambrata Speziata;2019;Pierre Montale;100;140;Zafferano, Bergamotto;Oud, Rosa Bulgara;Fava Tonka, Canna da Zucchero;Zafferano, Oud, Fava Tonka;3760260456326;"https://www.fragrantica.it/perfume/Montale/Arabians-Tonka-56363.html;";Francia
nicchia;Orto Parisi;2014;Alessandro Gualtieri celebra la forza primordiale del mare.;Megamare;Agrumata Marina;2019;Alessandro Gualtieri;50;155;Note Marine, Bergamotto;Alghe, Sale;Muschio, Ambra Grigia;Note Marine, Alghe, Sale;8717624961958;"https://www.fragrantica.it/perfume/Orto-Parisi/Megamare-54411.html;";Italia
nicchia;Marc-Antoine Barrois;2016;Haute couture francese incontra l’avanguardia olfattiva.;Ganymede;Legnosa Speziata;2019;Quentin Bisch;100;200;Mandarino;Osmanto, Zafferano;Akigalawood, Cuoio;Zafferano, Mandarino, Akigalawood;3770011855019;"https://www.fragrantica.it/perfume/Marc-Antoine-Barrois/Ganymede-54734.html;";Francia
nicchia;Amouage;1983;Lusso regale con ingredienti esotici e tradizione millenaria.;Guidance;Ambrata Floreale;2023;Quentin Bisch;100;370;Pera, Nocciola, Incenso;Osmanto, Rosa, Zafferano;Sandalo, Vaniglia, Akigalawood;Pera, Nocciola, Incenso;0701666410188;"https://www.fragrantica.it/perfume/Amouage/Guidance-78567.html;";Oman
nicchia;Xerjoff;2003;Lusso torinese che unisce arte del profumo e design.;Naxos;Fougere Aromatica;2015;Xerjoff Team;100;245;Lavanda, Bergamotto, Limone;Miele, Cannella, Cashmeran;Tabacco, Vaniglia, Fava Tonka;Miele, Tabacco, Lavanda;8033488155070;"https://www.fragrantica.it/perfume/Xerjoff/XJ-1861-Naxos-30529.html;";Italia
nicchia;Maison F. Kurkdjian;2009;Maison d’alta profumeria parigina fondata nel 2009, sinonimo di eleganza senza tempo.;Baccarat Rouge 540;Ambrata Floreale;2015;Francis Kurkdjian;70;255;Zafferano, Gelsomino;Amberwood, Ambra Grigia;Resina di Abete, Cedro;Zafferano, Ambra Grigia;3700559603116;"https://www.fragrantica.it/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html;";Francia
nicchia;Le Labo;2006;Minimalismo newyorkese con influenze parigine.;Santal 33;Legnosa;2011;Frank Voelkl;50;198;Cardamomo, Iris;Violetta, Ambrox;Sandalo, Papiro, Cedro;Sandalo, Cardamomo, Iris;0842113051145;"https://www.fragrantica.it/perfume/Le-Labo/Santal-33-12201.html;";USA
nicchia;Diptyque;1961;Storica maison parigina famosa per eleganza e tessuti.;Fleur de Peau;Floreale Legnosa Muschiata;2018;Olivier Pescheux;75;192;Aldeidi, Angelica, Bergamotto;Iris, Rosa Turca;Muschio, Semi di Ambretta;Iris, Semi di Ambretta, Muschio;3700431415546;"https://www.fragrantica.it/perfume/Diptyque/Fleur-de-Peau-Eau-de-Parfum-48615.html;";Francia
